Question,Answer A,Answer B,Answer C,Answer D,Answer E
Quale delle seguenti affermazioni sui bioelementi è FALSA?,Non rappresentano gli elementi chimici di base degli organismi vegetali,Possono essere presenti in concentrazioni elevate negli esseri viventi,Possono essere presenti in concentrazioni basse negli esseri viventi,Possono essere presenti in tracce negli esseri viventi,"Carbonio, ossigeno, idrogeno, azoto, fosforo, e zolfo rappresentano circa il 99% di tutta la materia vivente"
Quale tra gli elementi elencati NON è un bioelemento?,He,N,Mg,Cu,Cl
Quale tra le componenti dell’elenco presenta dimensioni minori?,Ribosoma,Piastrina,Mitocondrio,Globulo rosso,Ovulo
Quale tra le componenti dell’elenco presenta dimensioni maggiori?,Ovulo,Piastrina,Mitocondrio,Globulo rosso,Ribosoma
Quale tra le seguenti strutture biologiche è osservabile esclusivamente con il microscopio elettronico?,Virus,Globulo rosso,Cellula epiteliale,Linfocita,Spermatozoo
Attraverso quale strumento da laboratorio è possibile osservare i virus?,Attraverso il microscopio elettronico,A occhio nudo,Attraverso il microscopio ottico,Sia con il microscopio ottico sia a occhio nudo,Sia con il microscopio ottico sia con il microscopio elettronico
Quale delle seguenti strutture NON è presente dei batteri?,Nucleo,Capsula,Parete cellulare,Citosol,Ribosomi
Quale delle seguenti strutture NON è presente nelle cellule animali?,Parete cellulare,Nucleo,Ribosomi,Citoscheletro,Mitocondri
Quale delle seguenti affermazioni sulla parete cellulare è FALSA?,È molto comune nelle cellule animali,Circonda la membrana cellulare,È presente nella maggior parte dei procarioti,Serve a proteggere la cellula da agenti esterni,Mantiene la forma e il turgore cellulare
La parete cellulare dei funghi è composta principalmente da:,chitina,cellulosa,peptidoglicani,fosfolipidi,glicogeno
I peptidoglicani sono la principale componente della parete cellulare di:,batteri,vegetali,funghi,animali,virus
La chitina è la principale componente della parete cellulare di:,funghi,batteri,vegetali,animali,Virus
La parete cellulare dei batteri è composta principalmente da:,peptidoglicani,cellulosa,chitina,fosfolipidi,glicogeno
La parete cellulare vegetale è composta principalmente da:,cellulosa,peptidoglicani,chitina,fosfolipidi,glicogeno
Quale tra le seguenti strutture cellulari NON è presente nelle cellule procariote?,Mitocondri,Capsula,Parete,Pili,Ribosoma
Quale tra le seguenti strutture cellulari NON è presente in una cellula eucariote?,Capsula,Nucleo,Mitocondri,Ribosomi,Lisosomi
Quale gruppo di organismi tra i seguenti NON fa parte del dominio eukaryota?,Archaea,Plantae,Fungi,Animalia,Protista
Quale gruppo di organismi tra i seguenti fa parte del dominio prokaryota?,Archaea,Plantae,Fungi,Animalia,Protista
Il diametro medio delle cellule eucariotiche può essere approssimativamente compreso tra:,10-100 μm,10-100 nm,10-100 pm,10-100 mm,10-100 dm
Il diametro medio delle cellule procariotiche può essere approssimativamente compreso tra:,"0,5-5 μm","0,5-5 nm","0,5-5 pm","0,5-5 mm","0,5-5 dm"
Il DNA genomico all'interno della cellula eucariote si trova:,nel nucleo associato a proteine istoniche,libero nel citoplasma,nel nucleoide associato a proteine istoniche,nel citoplasma sotto forma di un unico filamento circolare,nel nucleo sotto forma di un unico filamento circolare
Il DNA all'interno della cellula procariote si trova:,nel citoplasma in una struttura chiamata nucleoide,nel nucleo associato a proteine istoniche,nel citoplasma associato a lipoproteine,nei mitocondri,nel nucleo sotto forma di un singolo filamento lineare
Indicare quale delle seguenti affermazioni sul DNA mitocondriale è vera.,È più piccolo del DNA nucleare,Contiene circa 23.000 geni,È trasmesso solo dal padre,È costituito da una serie di molecole lineari a singola elica,È nel nucleo delle cellule eucariote
