Question,Answer A,Answer B,Answer C,Answer D,Answer E
Qual è il volume in litri di ossigeno gassoso necessario per far reagire 2 litri di metano secondo la reazione CH4 + 2O2 → CO2 + 2H2O misurati nelle stesse condizioni di temperatura e pressione.,4,2,1,5,6
Si consideri una mole di azoto che ha formula molecolare N2. Se il suo peso è 28 g allora possiamo dire che:,il peso atomico dell'azoto è 14 u.m.a.,una mole di azoto in condizioni standard occupa 224 litri,una molecola di azoto pesa 28 grammi,la massa atomica dell'azoto è 28,una mole di molecole di N2 pesa 14
Date le sue caratteristiche possiamo dire che la molecola di PI3 ha una geometria:,piramide trigonale,triangolare planare,cubica,piramide a base quadrata,esagonale
Perché spargere sale sulla strada impedisce la formazione di ghiaccio in inverno?,La presenza di sale determina un abbassamento della temperatura di congelamento dell'acqua,Il sale si scioglie nell'acqua presente liberando calore,Il punto di fusione dell'acqua si alza per la presenza del sale,Il sale igroscopico assorbe l'acqua impedendo la formazione del ghiaccio,Il sale modifica la struttura molecolare della molecola d'acqua andando a impedire la formazione del ghiaccio
Se a una soluzione acida viene aggiunta una base:,il pH aumenta,il pH rimane invariato,non si può prevedere il risultato,il pKa aumenta,il pKa diminuisce
"Qual è il volume occupato da 1,806 x 1024 molecole di cloruro di idrogeno a 0°C e 1 atm?","67,2 litri","6,7 litri","33,6 litri","2,24 litri","448,0 litri"
La formula bruta del fosfato di calcio è:,Ca3(PO4)2,3Ca(PO4)2,Ca3(HPO4)2,Ca3(PO)5,Ca3(P5O)4
La scala del pH va da 0 a 14. Quando una soluzione ha pH = 12 è:,fortemente basica,fortemente acida,a pH neutro,a pH fisiologico,ricca di ioni H+
Durante il processo di solidificazione una sostanza passa dallo stato liquido a quello solido. Il processo avviene con:,cessione di calore,assorbimento di energia,diminuzione del numero di moli,aumento del numero di moli,diminuzione del peso
Quale delle seguenti formule chimiche NON è possibile?,Ca(BO3)2,KMnO4,NaClO4,Ca(H2PO4)2,PbCO3
Individuare la formula chimica dello ione ipobromito.,BrO–,Br2O–,"–
BrO2",HBrO–,"–
BrO3"
Quale delle seguenti coppie è formata da molecole che hanno entrambe struttura trigonale planare secondo la teoria Valence Shell Electron Pair Repulsion (VSEPR)?,BH3; SO3,NH3; BCl3,SO2; H2O,PCl3; CH4,NH3; PH3
"In un atomo allo stato fondamentale, che livello tendono ad occupare per primo gli elettroni?",Il livello a minore energia e minore distanza dal nucleo,Il livello con maggiore energia e maggior distanza dal nucleo,Tendono a disporsi in maniera casuale negli orbitali attorno al nucleo,Il livello del primo orbitale ibrido disponibile,Il livello dell'orbitale molecolare a minore energia
Gli elettroliti sono sostanze:,che in acqua si dissociano in ioni,insolubili in acqua,solubili nei grassi,che in acqua non si dissociano in ioni,che allo stato solido non conducono mai la corrente elettrica
Quale tra le seguenti caratteristiche deve avere un acido per essere definito monoprotico?,Poter trasferire a una base un solo idrogenione,Essere un idracido,Essere un composto binario,Essere un composto tra idrogeno e un metallo alcalino,Poter reagire solamente con basi forti
Durante l'ossidazione di un'aldeide si ottiene:,un acido,un'ammide,un etere,un'aloidrina,un perossido
La tavola periodica è divisa in righe e colonne in funzione delle caratteristiche degli elementi. Le righe sono dette anche:,periodi,blocchi,alcalini,alogeni,gruppi
Individuare il nome tradizionale del composto Cu(NO3)2.,Nitrato rameico,Nitrato rameoso,Nitrito rameico,Nitrito rameoso,Ammonio rameico
Quale delle seguenti formule brute identifica il fosfato monoacido di magnesio?,MgHPO4,MgHPO3,MgH2PO4,Mg2HPO4,Mg3(PO4)2
"Data una soluzione con pH = 8, possiamo dire che essa è:",debolmente basica,a pH fisiologico,a pH acido,a pH neutro,"priva di anioni, se in soluzione acquosa"
Qual è il valore numerico della costante di Avogadro?,"6,02 x 1023","1,66 x 1023","0,602 x 10-24","1,66 x 10-27","60,2 x 1023"
L'angolo che formano gli orbitali ibridi sp è di:,180°,122°,112°,98°,nessuna delle altre alternative è corretta
"NH  + è l'acido coniugato di quale base?
4",NH3,HCl,NaOH,"+
NH2",N(OH)3
Quale o quali numeri di ossidazione presenta il fluoro nei suoi composti?,–1,Tutti i valori interi compresi tra –1 e –7,Tutti i valori interi compresi tra –1 e +7,"–1, –3, –5, –7","–1, +1, +3, +5, +7"
L'energia di ionizzazione caratterizza tutti gli elementi della tavola periodica. Indicare tra i seguenti elementi quale ha maggiore energia di prima ionizzazione:,F,Mg,Li,Sr,Br
La reazione dei non metalli con ossigeno porta alla formazione di:,anidridi,esteri,idrossidi,alcheni,aloidrine
"Seguendo la teoria di Brønsted possiamo considerare CO  2– e H– due
3
basi, i loro acidi coniugati sono:","–
HCO3   e H2",HCO3 e H+,HCO3 e H3O+,H2CO3 e OH–,"2–        –
CO3     e H"
"Qual è la massa di 3,011 x 1023unità formula di MgF2? (PA del magnesio
= 24,3 u; PA del fluoro = 19,0)","31,15 g","62,3 g","43,3 g","21,65 g","33,8 g"
I legami tripli sono legami formati da:,da un legame σ e da due legami π,tre legami dativi,due legami ionico ed un legame covalente omopolare,due legami covalenti polari e un legame omopolare,due legami σ e un legame π
Quale delle seguenti espressioni matematiche esprime il pH?,pH = –log [ H+],pH = ln [ OH–],pH = –log [ OH–],pH = log [ H+]/ log [ OH–],pH = –log [ H+]7
Quale delle seguenti alternative è corretta rispetto alla saponificazione?,È una reazione di idrolisi di esteri,È la reazione di sintesi dei trigliceridi,È una reazione di sintesi delle basi,È la reazione di riduzione di acidi grassi,È la reazione di formazione dei fosfolipidi
Qual è il nome tradizionale dell’acido ossigenato del fosforo che ha formula H4P2O7?,Acido pirofosforico,Acido metafosforico,Acido ortofosforoso,Acido metafosforoso,Acido ortofosforico
Che proprietà tra le seguenti viene modificata solo lievemente in una soluzione tampone dopo l'aggiunta di piccola quantità di base forte?,pH,L'elettronegatività,Il punto triplo,Il punto di ebollizione del solvente,Il volume specifico
Il legame che si forma nella molecola di ossigeno O2 è un legame:,covalente puro,ionico,l'ossigeno non esiste in forma di molecola,metallico,dipolo-dipolo
